sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
0,1,25.443103916943073,2.112825533375144,1.1603700537234545,1913.6795908601166,67361.17,314.01922419763406,743.2724035552,686.273993763498,170.11396934378433,0.0
1,1,25.443103916943073,2.112825533375144,1.1603700537234545,1913.6795908601166,67361.17,314.01922419763406,743.2724035552,686.273993763498,170.11396934378433,0.0
2,1,25.51963399257511,2.112825533375144,1.1603700537234545,1829.3596068417035,67327.83,298.05179279436845,715.7724125235537,660.1483385904576,155.38706293332376,0.0
3,1,25.443103916943073,1.895551698282361,1.1603700537234545,1972.435562240603,67694.5,325.54745576583656,764.391982425896,704.4208523397742,178.07527170909626,0.0
4,1,25.443103916943073,2.112825533375144,2.811887325718999,1442.44255304863,63011.16,203.33244338737785,585.7463204646349,575.5568757173413,77.8069134792759,0.0
5,1,25.51963399257511,1.895551698282361,2.811887325718999,1425.2314184472048,63269.5,201.21487004141292,579.54487983683,569.977504536312,74.49416403264973,0.0
6,3,23.383939975872636,1.4214256163686514,3.986904187127948,4885.2891336636385,64108.38,748.1297478106493,660.1413835296835,1482.0701033116907,1871.2415262201903,123.7063727914245
7,3,23.383939975872636,1.4214256163686514,3.986904187127948,4885.2891336636385,64108.38,748.1297478106493,660.1413835296835,1482.0701033116907,1871.2415262201903,123.7063727914245
8,3,24.334245392121375,1.4214256163686514,3.986904187127948,2834.2210413594194,63541.72,354.9625909547189,301.49925273764245,1055.7014571430113,1119.0634212974624,2.994319226584465
9,3,23.383939975872636,0.5370327066630125,3.986904187127948,5869.516415126727,67933.39,967.7676356756039,842.0274188069673,1755.84616296264,2141.8707928544036,162.00440482711164
10,3,23.383939975872636,1.4214256163686514,2.0472057461738586,5399.063820018142,66733.39,850.0996128491593,779.6675718931248,1627.6450083821394,1937.3172871371496,204.3343397565685
11,3,24.334245392121375,0.5370327066630125,2.0472057461738586,4149.161031209558,70083.39,632.1713221085483,547.1675683216866,1421.7898095758615,1498.3802302977554,49.65210090570631
12,2,24.64110034890473,1.9955146368592978,2.308507649227977,3010.156186701046,64005.61,153.9195122610788,1011.3802617704446,944.4219619650207,899.3201346055492,1.1143160989523047
13,2,24.64110034890473,1.9955146368592978,2.308507649227977,3010.156186701046,64005.61,153.9195122610788,1011.3802617704446,944.4219619650207,899.3201346055492,1.1143160989523047
14,2,23.36633528303355,1.9955146368592978,2.308507649227977,5656.460254089713,64819.5,527.8277517899697,1585.7054680122583,1834.6031487265402,1532.5525148954696,175.7713706654757
15,2,24.64110034890473,2.384232249110937,2.308507649227977,2900.5511609641426,63566.72,144.10644445604024,978.4112474168079,913.2209462063624,864.0420482147118,0.7704746702202545
16,2,24.64110034890473,1.9955146368592978,1.6226133666932583,3266.115011512736,65683.39,202.0415389243958,1087.5723914748962,1008.1211699626325,958.3790521256058,10.00085902520607
17,2,23.36633528303355,2.384232249110937,1.6226133666932583,5862.5359993648835,66102.83,583.3183482776864,1637.2392814372247,1845.0985347607902,1568.209183294124,228.67065159505862
